Path,Width,Height,Megabytes,Format
images/sections/events/ofek/asi0400-websize-1-wide.webp,2000,1333,0.45,WEBP
images/sections/events/ofek/asi0400-websize-wide.webp,2000,1333,0.45,WEBP
images/sections/events/planners-2025/Yearly Convention-138.jpg,1920,1280,0.45,JPEG
images/sections/events/building-on-quality-2025/planning25-069-wide.webp,2000,1333,0.44,WEBP
images/sections/events/kayamut-2022/476155992_1057424219715923_3103359124723835896_n.jpg,1600,1067,0.44,JPEG
images/sections/events/kayamut-2022/476244760_1057423989715946_5554761020277479525_n.jpg,1600,1067,0.44,JPEG
images/sections/events/kayamut-community-2024/466656955_996461295812216_1094384331114492083_n.jpg,2048,1365,0.44,JPEG
images/sections/events/ofek/ASI0129_websize.jpg,2048,1365,0.44,JPEG
images/sections/events/planners-2025/Yearly Convention-70 copy.jpg,1920,1280,0.44,JPEG
images/sections/events/planners-2025/Yearly Convention-70.jpg,1920,1280,0.44,JPEG
images/sections/events/planners-2025/yearly-convention-93-wide.webp,1280,1920,0.44,WEBP
images/sections/events/health-il-2019/1.jpg,1200,1372,0.43,JPEG
images/sections/events/health-il-2019/5.jpg,1885,1256,0.43,JPEG
images/sections/events/kayamut-community-2024/466739250_996459519145727_4139377124278626247_n.jpg,2048,1365,0.43,JPEG
images/sections/events/ofek/ASI0027_websize.jpg,2048,1365,0.43,JPEG
images/sections/events/planners-2025/Yearly Convention-90.jpg,1280,1920,0.43,JPEG
images/sections/events/building-on-quality-2025/WhatsApp Image 2025-09-16 at 11.46.52.jpeg,1536,2048,0.42,JPEG
images/sections/events/planners-2025/Yearly Convention-3.jpg,1280,1920,0.42,JPEG
images/sections/events/planners-2025/Yearly Convention-55.jpg,1280,1920,0.42,JPEG
images/sections/events/kayamut-community-2024/1-thumb.webp,1200,1200,0.41,WEBP
images/sections/events/kayamut-community-2024/466163404_996461055812240_6194539209486910017_n.jpg,2048,1365,0.41,JPEG
images/sections/events/planners-2025/Yearly Convention-2.jpg,1280,1920,0.41,JPEG
images/sections/events/planners-2025/Yearly Convention-37.jpg,1920,1280,0.41,JPEG
images/sections/events/planners-2025/Yearly Convention-5.jpg,1920,1280,0.41,JPEG
images/sections/events/planners-2025/Yearly Convention-7.jpg,1920,1280,0.40,JPEG
images/sections/events/kayamut-2022/476125248_1057424043049274_1507369839186955676_n.jpg,1600,1067,0.39,JPEG
images/sections/events/kayamut-2022/476200488-1057424056382606-44256041989446229-n-thumb.webp,1200,1067,0.39,WEBP
images/sections/events/planners-2025/Yearly Convention-4.jpg,1920,1280,0.39,JPEG
images/sections/illustrations/09-thumb.webp,1080,1080,0.39,WEBP
images/sections/illustrations/09-wide.webp,1080,1080,0.39,WEBP
images/sections/events/planners-2025/yearly-convention-138-wide.webp,1920,1280,0.38,WEBP
images/sections/events/building-on-quality-2025/planning25-275-wide.webp,2000,1333,0.37,WEBP
images/sections/events/health-il-2019/2.jpg,1200,1600,0.37,JPEG
images/sections/events/jewish-agency/mg-9536-wide.webp,2000,1334,0.37,WEBP
images/sections/events/planners-2025/yearly-convention-55-wide.webp,1280,1920,0.37,WEBP
images/sections/events/jewish-agency/mg-0012-2-wide.webp,2000,1334,0.36,WEBP
images/sections/events/kayamut-2022/476104287_1057423943049284_1045302103718501907_n.jpg,1600,1067,0.36,JPEG
images/sections/branding/gaya/35-wide.webp,2000,2000,0.35,WEBP
images/sections/events/autojob/img-2620-wide.webp,1500,2000,0.35,WEBP
images/sections/events/health-il-2019/6.jpg,2048,1364,0.35,JPEG
images/sections/events/kayamut-2022/screenshot-2025-02-12-at-12-56-56-wide.webp,2000,1310,0.35,WEBP
images/sections/events/ofek/asi0008-wide.webp,2000,1333,0.35,WEBP
images/sections/events/planners-2025/Yearly Convention-39.jpg,1280,1920,0.35,JPEG
images/sections/events/kayamut-2022/22-wide.webp,1600,1067,0.34,WEBP
images/sections/events/kayamut-community-2024/466852532_996458485812497_9097735613386712148_n.jpg,2048,1365,0.34,JPEG
images/sections/events/ofek/ASI0017_websize.jpg,1365,2048,0.34,JPEG
images/sections/events/ofek/asi0020-websize-wide.webp,2000,1333,0.34,WEBP
images/sections/events/planners-2025/yearly-convention-70-copy-wide.webp,1920,1280,0.34,WEBP
images/sections/events/planners-2025/yearly-convention-70-wide.webp,1920,1280,0.34,WEBP
images/sections/illustrations/39-wide.webp,2000,2000,0.34,WEBP
images/sections/events/planners-2025/yearly-convention-56-wide.webp,1920,1280,0.33,WEBP
